MLT2B3	ltr	DF0001031	MLT2B3 Long Terminal Repeat for ERVL endogenous retrovirus
MLT2B4	ltr	DF0001032	MLT2B4 Long Terminal Repeat for ERVL endogenous retrovirus
MLT2B5	ltr	DF0001033	MLT2B5 Long Terminal Repeat for ERVL endogenous retrovirus
HERVL18-int	internal	DF0000199	Internal region of ERVL Endogenous retrovirus, HERV18 subfamily
LTR18A	ltr	DF0000428	LTR18A (Long Terminal Repeat) for HERV18 endogenous retrovirus
LTR18B	ltr	DF0000429	LTR18B (Long Terminal Repeat) for HERV18 endogenous retrovirus
LTR18C	ltr	DF0000430	LTR18C (Long Terminal Repeat) for ERVL endogenous retrovirus
HERVL32-int	internal	DF0000200	Internal region of ERVL endogenous retrovirus, HERVL32 subfamily
LTR32	ltr	DF0000488	LTR32 (Long Terminal Repeat) for ERVL endogenous retrovirus
HERVL40-int	internal	DF0000201	Internal region of ERVL endogenous retrovirus, HERVL40 subfamily
LTR40a	ltr	DF0000513	LTR40a (Long Terminal Repeat) for HERVL40 endogenous retrovirus
LTR40b	ltr	DF0000515	LTR40b (Long Terminal Repeat) for HERVL40 endogenous retrovirus
LTR40c	ltr	DF0000516	LTR40b (Long Terminal Repeat) for HERVL40 endogenous retrovirus
LTR40A1	ltr	DF0000514	LTR40A1 (Long Terminal Repeat) for ERVL endogenous retrovirus
HERVL66-int	internal	DF0000202	Internal region of ERVL endogenous retrovirus, HERVL66 subfamily
LTR66	ltr	DF0000565	LTR66 (Long Terminal Repeat) for HERVL66 endogenous retrovirus
HERVL74-int	internal	DF0000203	Internal region of ERVL endogenous retrovirus, HERVL74 subfamily
MER74A	ltr	DF0000925	MER74A Long Terminal Repeat for ERVL endogenous retrovirus
MER74B	ltr	DF0000926	MER74B (Long Terminal Repeat) for ERVL endogenous retrovirus
MER74C	ltr	DF0000927	MER74C (Long Terminal Repeat) for ERVL endogenous retrovirus
ERVL-int	internal	DF0000118	Endogenous retrovirus,  ERVL subfamily (internal region)
MLT2D	ltr	DF0001036	MLT2D Long Terminal Repeat for ERVL endogenous retrovirus
ERVL-B4-int	internal	DF0000775	ERVL Endogenous retrovirus, ERVL-B4 subfamily
MLT2C1	ltr	DF0001034	MLT2C1 Long Terminal Repeat for ERVL endogenous retrovirus
MLT2C2	ltr	DF0001035	MLT2C2 Long Terminal Repeat for ERVL endogenous retrovirus
MLT2F	ltr	DF0001038	MLT2F Long Terminal Repeat for ERVL endogenous retrovirus
ERVL-E-int	internal	DF0000120	ERVL endogenous retrovirus, ERVL-E subfamily
MLT2E	ltr	DF0001037	MLT2E Long Terminal Repeat for ERVL endogenous retrovirus
